id	created_at	favourite_count	retweet_count	length
872253002266161153	1496792696	41129	7559	87
872243414930264065	1496790410	44231	9083	140
872147965451882496	1496767653	98960	26548	137
872086906804240384	1496753095	68378	43422	128
872084870620520448	1496752610	66813	41143	140
872064426568036353	1496747736	105799	26075	140
872062159789985792	1496747195	76904	86723	139
872059997429022722	1496746680	111236	27605	137
872043300949295104	1496742699	70831	12764	125
872041195618349056	1496742197	0	8348	139
872040726120550404	1496742085	0	6861	135
871899511525961728	1496708417	119809	31401	140
871840367070412800	1496694316	58819	12660	135
871830255396192256	1496691905	42855	9547	137
871725780535062528	1496666996	94284	28722	140
871722020278587393	1496666100	79020	20929	139
871679061847879682	1496655858	88625	19973	138
871677472202477568	1496655479	65315	14826	144
871675245043888128	1496654948	70666	15362	139
871674214356484096	1496654702	88297	21610	129
871331574649901056	1496573010	164668	49517	100
871328428963901440	1496572260	159777	62404	108
871325606901895168	1496571587	241437	74696	140
871145660036378624	1496528685	261358	64455	117
871143765473406976	1496528233	175968	53047	139
871139911298101248	1496527314	0	7545	97
871087981225926656	1496514933	51582	12064	42
870709271477932032	1496424641	77676	16370	50
870590911222349824	1496396422	0	11046	73
870589692294647808	1496396132	0	1986	84
870589482675916800	1496396082	0	7469	139
870589212978032640	1496396017	0	8912	144
870588968475275264	1496395959	0	8158	140
870588844793581569	1496395930	0	9361	140
870588565595578370	1496395863	0	9528	140
870582867084050432	1496394504	0	9502	110
870445001125355522	1496361635	162292	48269	25
870412262900740096	1496353829	92226	22334	140
870355056327000065	1496340190	38147	7092	83
870234811616677889	1496311521	91348	25430	108
870083798981111808	1496275517	78656	17361	128
870077441401905152	1496274001	113358	29247	143
870035383458963456	1496263974	42990	7398	133
870008165827575808	1496257485	59347	13081	128
869903459511918592	1496232521	71854	13866	102
869902591005741056	1496232314	64933	12295	142
869874798087819264	1496225688	191258	52886	135
869867413776601088	1496223927	58447	12925	144
869865463584620544	1496223462	55401	13758	138
869858333477523458	1496221762	205245	83488	60
869554306806157312	1496149276	0	7495	126
869554194658844673	1496149250	0	6244	135
869553853750013953	1496149168	76709	19638	140
869509894688387072	1496138688	85283	21726	135
869503804307275776	1496137236	87776	22278	144
869170615881793536	1496057797	91030	14960	135
869170351049240576	1496057734	149257	36210	139
869166145894535169	1496056732	64466	12401	139
869164414662049793	1496056319	104699	26471	138
868985285207629825	1496013611	114036	29463	140
868981969664843777	1496012821	74395	15662	140
868979531641741313	1496012239	69384	13534	136
868840252227674113	1495979033	68900	16466	128
868810522942164993	1495971945	69448	14683	144
868810404335673344	1495971916	58807	13078	116
868807754231820291	1495971284	76890	18942	97
868807327130025984	1495971183	70815	17368	121
868801710038372352	1495969843	81056	14099	91
868799536420065281	1495969325	62807	9577	35
868517059407335424	1495901977	90737	24256	116
868502563347451904	1495898521	42074	7757	139
868501423566315520	1495898250	40791	7387	105
868501243823575040	1495898207	45963	7966	88
868441116726710272	1495883871	52988	10332	60
868407229380268033	1495875792	74828	16328	140
868406076995235840	1495875517	50080	9360	127
868205058743250944	1495827591	61577	11833	140
868201805934678017	1495826815	73454	20084	144
868047612301148160	1495790052	62047	11178	101
868047480847568896	1495790021	71162	13594	137
867874154497937408	1495748697	53731	9733	90
867834190078906370	1495739169	71955	16509	126
867801005018230786	1495731257	49781	11250	102
867750567220715521	1495719231	0	9980	143
867473100434161664	1495653078	56867	10838	91
867354520526872576	1495624807	108959	24870	140
867047119974170625	1495551517	118557	29569	131
867044286352809984	1495550841	66593	12532	138
867043258932875264	1495550596	60081	9680	101
866988278184116224	1495537488	139619	33682	94
866749195297976320	1495480486	65968	13464	140
866643258390302721	1495455228	0	20547	72
866411249092902912	1495399913	61401	17863	54
866334629036384256	1495381645	42626	11340	137
866251096649588738	1495361730	0	19609	140
865957909565366272	1495291829	77634	19216	144
865865814099939328	1495269871	100188	96631	125
865692565454106624	1495228566	35597	7375	68
865573793531478017	1495200248	106224	20156	113
865387523371143168	1495155838	55362	12482	120
865337513245913089	1495143915	51179	9899	143
865207118785372160	1495112826	105059	30230	141
865173176854204416	1495104734	120532	36224	75
864942610191978496	1495049762	68166	13391	139
864565791076872192	1494959922	73935	19229	128
864511331029921792	1494946937	51757	12322	68
864452996129853444	1494933029	79242	19680	143
864438529472049152	1494929580	75843	17858	144
864436162567471104	1494929016	75588	19374	140
864296272844529664	1494895663	71369	18061	103
864207293289771012	1494874449	54352	11174	140
863774341921742848	1494771225	132885	21620	129
863468271668002817	1494698253	70936	15479	139
863452412459307009	1494694471	45217	7578	86
863194069891031041	1494632878	45721	10918	68
863140961114886144	1494620216	51681	10722	140
863139099825364994	1494619772	55942	11841	140
863020954427043840	1494591604	122801	30642	129
863014620516233216	1494590094	71650	18106	135
863007411132649473	1494588375	75462	25438	109
863002719400976384	1494587256	80068	18551	136
863000553265270786	1494586740	61642	13168	140
862999243560288256	1494586428	78048	20016	41
862998775731818496	1494586316	77228	19266	144
862788002594127873	1494536064	51899	12831	140
862767872879325185	1494531265	92941	25024	128
862758098892619780	1494528934	120223	40735	60
862753016193089536	1494527722	40794	9844	137
862752672683839488	1494527640	37415	8312	138
862460991451344896	1494458098	99339	41350	91
862387734492663808	1494440632	93603	25223	143
862290442129461249	1494417436	57002	15571	130
862286091759611905	1494416399	60491	13583	144
862283792559616000	1494415851	55624	14408	137
862282202188566529	1494415472	56391	14850	139
862268135944192000	1494412118	0	8468	77
862267781336752128	1494412033	73168	17751	139
862266225157689349	1494411662	0	7171	93
862265729718128641	1494411544	78389	18124	119
862263649821503489	1494411048	75103	19284	137
862135824745467905	1494380572	94208	29311	137
862059314277748736	1494362331	43452	9766	94
861993986436866049	1494346756	52105	9857	138
861715019674910721	1494280245	53402	14119	116
861713823505494016	1494279960	63677	16452	93
861713233786404864	1494279819	52202	11109	90
861712617299210240	1494279672	66179	17419	140
861637456281690113	1494261752	35186	6773	134
861592420043157504	1494251015	59047	16449	137
861550676505219073	1494241062	58624	16303	135
861544307043467264	1494239544	50280	10281	122
861541965464207360	1494238985	0	5729	140
861354654856249344	1494194327	43899	10291	140
861300169438113793	1494181337	79574	22269	134
861201362834665472	1494157779	58991	12829	135
861183225082806272	1494153455	0	14207	139
861178291671244800	1494152279	0	9735	112
861177649179373569	1494152126	66867	18357	143
860987464114110465	1494106782	62558	10939	140
860638890570416132	1494023676	68895	12555	54
860637673744195584	1494023385	63115	14310	138
860635815277453313	1494022942	65339	13777	140
860580764944969728	1494009817	38478	9857	42
860577873060651008	1494009128	46360	12726	41
860573284462669824	1494008034	62410	12726	135
860479885566980096	1493985766	65551	11793	140
860477328882905089	1493985156	53676	10045	140
860377543878348800	1493961366	37992	7085	143
860326946147840001	1493949302	58147	12684	143
860194183797243904	1493917649	48480	8380	136
860191508619722752	1493917011	57046	12318	140
860188065758838785	1493916191	60258	14490	142
860153543151542272	1493907960	36695	8163	138
860108914624532480	1493897319	29341	8203	135
860088977277235201	1493892566	0	10142	140
860088511202029569	1493892455	37206	6720	67
860087334519414784	1493892174	71824	18663	135
860083874893897728	1493891350	40135	9418	65
860081707315232771	1493890833	46073	13791	138
859874689442775045	1493841476	41199	8642	137
859604996236742656	1493777176	81221	18496	140
859601184285491201	1493776267	79025	20314	140
859514893418082310	1493755694	41480	8181	128
859393829505552385	1493726830	65727	16842	139
859392449181093888	1493726501	42942	9904	139
859209801175269376	1493682954	56387	11598	134
859143061678501892	1493667042	36667	8030	144
859127705366921216	1493663381	35561	7047	132
858660413873025024	1493551970	74545	14094	144
858659215451271168	1493551684	59659	13176	140
